uuid,name,description,region,symptoms,crude_drags,prescriptions,treatment,references
df99a2c799d843e28ac5c33a6ea6db6b,風寒襲表,"風寒の邪が体表部を侵製して衛気と相争する病態であり,「表寒」あるいは「風寒表証」と称する.寒気・ふるえ・鳥肌・頭痛・関節や腰の痛みなど,寒冷にさらされたときのような反応が現れる.感冒・インフルエンザ・他の炎症の初期によくみられ,昔か「卵酒を飲んで汗をかくと治る」といわれている病態である.",全身,,,,,"森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
cb248d883f8948b091c98ed7052212df,表実証,"風寒の邪のうち風邪より寒邪のほうが強く,凍結の性質を持つ寒邪により,体表が閉塞され気圧の流れが凝滞する病態である.寒冷反射が強く生じ,汗腺が閉じ鳥肌が立ってふるえ,悪寒あるいは悪風があって汗が出ない状態である.汗が出ないところから「表実」と呼ぶ",全身,悪寒あるいは悪風・汗が出ない・軽度の発熱・頭痛・節々の痛み・首筋や肩背のこり痛み・咳・鼻水・ 脈が浮で緊（非常に緊張が強い）,麻黄・桂枝・紫蘇・生姜,麻黄湯・桂麻各半湯,"体表を温めて汗腺を聞き,汗とともに風寒の邪を発散して除く,（辛温発汗）を用いる","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
403386f1f95d447f96de8df1ea0d534e,表虚証,"風寒の邪のうち寒邪より風邪のほうが強く,発地の性質をもっ風邪により体表が緩んで汗孔を開く病態である.寒冷反射が強くは発生せず,悪風があり少し汗が出る状態である.汗が漏れているところから桜島と呼ぶ.",全身,悪風・じっとり汗が出る・軽度の発熱・頭痛・節々の痛み・首筋や肩背のこり痛み・鼻水・乾恒・脈が浮で緩(緊張が弱くやや遅い)などがみられる.,桂枝・生萎など.,桂枝湯・桂枝加葛根湯,"体表部を温めて汗腺機能を調整し,軽く発散させることにより風寒の邪を除く,〈辛温解肌〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
988bf63227784a20af05b3455570fbd1,風寒襲表兼証,"単純な風寒襲表ではなく他の病変を伴っており,治療上も別の配慮が必要な病態である.一般にはこの病態のほうが多い.",全身,,,,,"森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
bdcb31250cac40c2a657de8cd87c5f49,風寒襲表兼熱鬱,"内熱のあるものが風寒襲表を受け,凍結の性質をもっ寒邪が体表を閉塞することにより体表から熱を放散することができなくなり,体内に熱がこもった病態である.元来,元気で熱量産生の高い暑がりの体質のものが,かぜ,をひいた状態に相当する.",全身,"悪寒あるいは悪風があって汗が出ず,さらに発熱・咽の渇き・体内の熱感・いらいら・じっとしていられない・舌質が紅・脈が浮で速い","辛温発汗の麻黄・桂枝・杏仁,青熱除煩の石膏・知母",大青竜湯,"体表を温めて汗腺を聞き,汗とともに風寒の邪を発散して除くと同時に,体内の熱を冷ましていらいらを静める,〈辛温発汗・清熱除煩〉を用いる.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
f13c7e527c784de698fe15bb66314592,風寒襲表兼陽虚,"先天的虚弱・老化・慢性病などで陽気が不足したものが,風寒襲表を呈する病態である.老人・虚弱者に多く,抵抗力が弱く熱産生能力も衰えているために,強い冷えと虚弱症状が現れる.",全身,"悪寒・軽度の発熱・四肢の冷え・縮こまる・汗が出ないなどとともに,うとうとする・眠りたがる・横になっていたい・舌質が胖大・舌苔が白・脈が沈といった陽虚の症状がみられる.","辛温発散の麻黄・桂枝・防風・細辛,助陽益気の附子・乾姜・人参・黄耆など",麻黄附子細辛湯・再造散,"体を温め体力と抵抗力を高めたうえで,発散により風寒の邪を除く,〈助陽益気・辛温解表〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
0e13a3864a43489b8642ba1c6611f58d,風寒襲表兼陰血虚損,"大出血・出産の後あるいは大病後で体液や栄養状態が不足した陰血虚損のものが,風寒の邪の侵襲を受けた病態である.汗の原料が不足しているために汗が出ず,無理に汗を出させると陰血がさらに不足することになり,危険である.",全身,"悪寒あるいは悪風・汗が出ない・発熱・頭痛・節々の痛みなどとともに,皮膚の乾燥・るい痩・顔色が悪い・口唇の乾燥・舌質が淡泊・舌苔が少ない・脈が浮細など陰血不足の症状を伴う.","軽度に発散する葱白・淡立鼓,滋陰養血の生地黄・麦門冬など",葱白七味飲,"体を栄養滋潤して汗の原料を提供し,少し汗ばませることにより風寒の邪を発散して除く, 〈滋陰養血・辛温発汗〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
1bfd3fd934814a91bf3a39a1aff9de04,風寒湿襲表,"湿度が高くかつ寒冷の気候のために,あるいは普段からむくみの傾向をもつ内湿の体質のものが風寒の邪を受けることにより,風寒の邪と湿邪が合併して侵襲した病態である.皮下や筋肉内に水分の停滞があって,気血の流れや筋肉の動きを悪くするので,重だるさや強い痛みを伴うのが特徴である.",全身,頭が重い・しめつけられるような強い頭痛・体が重だるい・節々の痛み・体を動かしにくい・悪寒あるいは悪風・軽度の発熱・胸苦しい・むくみ・白賦苔・脈が浮などがみられる.,辛温発汗で祛湿にも働く藿香・防風・羗活・自芷・細辛・蒼朮 など,九味羗活湯・荊防敗毒散・藿香正気散,"温めて風寒の邪を除くとともに,皮下や筋肉内の水分を除く,〈辛温発汗・融湿〉を行う","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
ac5b50a9ab99463391fe8cc85c79726e,陰暑,"夏期に風寒湿の邪を受け,風寒湿の邪による体表の閉塞と体内の暑熱の両面を呈する病態である.暑熱の時期に陰寒の症状を呈することから,「陰暑」と呼ばれ,暑熱と寒湿が共存しているところが特徴である.暑中に冷えて発病する「夏かぜ」の一種に相当し,クーラーをかけすぎる・裸で戸外に寝る・水遊びをしすぎる・納涼のしすぎ・冷たいもののとりすぎ・汗や雨に濡れたままで過ごすなどで発生する.",全身,"寒気・腹痛・汗が出ない・体が重だるい・舌苔が白賦などの体表部の寒湿の症状と,咽の渇き・発熱・体内の熱感・いらいら・尿が濃く少ないなどの体内の暑熱の症状がみられる.","散寒解表の香薷,祛暑の金銀花・連翹・白扁豆",香薷飲・新加香薷飲,"体表部の寒湿を除き,体内の暑熱を冷ます,〈祛暑解表・化湿〉を行う.","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
832ca0e2dee24146a4d13b275acdfb3b,風寒侵入少陽,"風寒襲表に引き続いて邪が少陽に侵入したり,風寒の邪が直接少陽に侵入し,邪正相争する病態で,邪が胆・三焦で気・津液の通行を阻滞し化熱するので,多彩な症状を伴う.暑熱の時期を除き年中発症するが,主に晩秋から冬季ににみられ,感冒・扁桃炎・インフルエンザなど多くの感染症に相当する",全身,"1日に何回も不定期に往来寒熱が現れ,発熱はずっと続き熱感があるときに体温はより上昇し,胸脇部が張って苦しい・食欲がない・吐き気・めまい感・口が苦い・咽の乾燥感・因痛・腹痛 尿が少ない・舌苔がやや黄・脈が弦などがみられる",柴胡・黄芩・半夏,小柴胡湯,"風寒の邪を外透し,気・津液を疏通させ炎症を静める,〈和解少陽〉を行う","森 雄材,「漢方・中医学臨床マニュアル症状から診断・処方へ」, 医歯薬出版株式会社, 2004/02/01, ISBN 4263201957"
